icao24,callsign,country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate
39de4f,TVF91VP ,France,2026-01-28 20:12:09,2026-01-28 20:12:09,-3.5067,41.5312,11582.4,False,220.86,26.57,0.0
4b1815,SWR27M  ,Switzerland,2026-01-28 20:12:09,2026-01-28 20:12:09,8.5995,47.3832,1097.28,False,82.39,334.88,-4.88
4b1817,SWR24C  ,Switzerland,2026-01-28 20:12:10,2026-01-28 20:12:10,8.2404,47.3967,3223.26,False,159.24,231.43,10.4
a6fe0f,N55LC   ,United States,2026-01-28 20:12:10,2026-01-28 20:12:10,-82.2432,30.0803,10934.7,False,248.61,173.35,-11.7
4b1819,SWR1KV  ,Switzerland,2026-01-28 20:12:09,2026-01-28 20:12:09,8.5327,47.5565,2202.18,False,119.42,91.97,13.66
408120,VIR157L ,United Kingdom,2026-01-28 20:12:10,2026-01-28 20:12:10,-71.0183,42.373,,True,0.77,312.19,
aa56db,UAL1324 ,United States,2026-01-28 20:12:10,2026-01-28 20:12:10,-93.5439,37.1494,8839.2,False,233.0,39.0,0.0
a2e5ec,SKW3856 ,United States,2026-01-28 20:10:21,2026-01-28 20:10:21,-111.9968,40.7866,1181.1,False,38.75,354.67,0.0
aa56da,UAL1649 ,United States,2026-01-28 20:12:10,2026-01-28 20:12:10,-118.6333,45.685,11582.4,False,207.76,305.93,-0.33
a33b55,N307WP  ,United States,2026-01-28 20:12:09,2026-01-28 20:12:09,-90.6688,31.905,7612.38,False,153.29,98.1,0.0
39de4a,TVF38ZF ,France,2026-01-28 20:12:10,2026-01-28 20:12:10,3.2079,48.8923,2926.08,False,152.42,224.59,-2.6
7c6b2b,JST132  ,Australia,2026-01-28 20:11:53,2026-01-28 20:11:53,171.9475,-35.9387,10340.34,False,238.19,297.95,5.2
a77ec5,EJA582  ,United States,2026-01-28 20:09:33,2026-01-28 20:09:33,-80.0866,26.6761,-22.86,False,52.03,316.2,-2.93
407a38,NPT905  ,United Kingdom,2026-01-28 20:12:10,2026-01-28 20:12:10,-2.0281,49.5608,4343.4,False,112.72,1.83,5.85
abd9d9,SWA2657 ,United States,2026-01-28 20:12:02,2026-01-28 20:12:02,-87.7438,41.7893,,True,1.29,165.94,
801640,AIC1832 ,India,2026-01-28 20:12:09,2026-01-28 20:12:09,80.9954,26.7112,10972.8,False,202.27,297.74,0.0
ab6fdd,AAL2951 ,United States,2026-01-28 20:12:09,2026-01-28 20:12:09,-82.9187,38.0225,10972.8,False,197.92,249.78,0.0
